repl,LgNeg,WT,Phe_loop,DE,EW
1,0.073861,1.128788,0.498562,1.345554,0.867465
1,0.055396,1.048103,0.463237,1.098281,0.973439
1,0.063023,0.707701,0.419081,0.91403,0.88031
1,0.046966,1.123169,0.333579,0.91403,0.86024
1,0.042149,1.2452,0.326353,0.753061,0.892353
1,0.063023,0.74704,0.362079,0.705292,0.585669
2,0.05964,,0.549522,0.98914,0.895308
2,0.04451,1.027802,0.592094,1.143788,0.793223
2,0.060521,0.599044,0.424848,1.034318,0.735447
2,0.052295,1.066464,0.410513,0.727194,0.596003
2,0.031436,1.162033,0.519983,0.438749,0.567333
2,0.037018,1.144657,0.511729,0.897915,0.669852
3,0.046792,1.149964,0.669755,,
3,0.046792,1.177389,0.624048,,
3,0.066747,0.916576,0.351295,1.026274,1.158173
3,0.052297,0.880756,0.283014,0.966761,1.046796
3,0.052985,0.926277,0.295513,0.797363,0.891017
3,0.053329,0.949038,0.410808,0.880943,1.052766
